Start Date,01/01/2000,,,
End Date,,,,
,,,,
,AVMN NA Equity,,SPEUVLI LX Equity,
,Total Return Index (Gross Dividends),Last Price,Total Return Index (Gross Dividends),Last Price
Dates,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST
03/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
31/01/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/02/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
30/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
31/03/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/04/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
30/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
31/05/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
30/06/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/07/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/07/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/07/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/07/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
